time_seconds,note,freq_hz,intensity
0.882,	f#(5),	376.83,	1.6320960521697998
0.906,	c#(7),	1119.73,	4.784937858581543
0.952,	f#(5),	376.83,	6.5289154052734375
2.067,	f#(5),	376.83,	46.587589263916016
3.181,	f#(5),	376.83,	2.2017099857330322
3.297,	g(4),	193.80,	1.3108724355697632
3.344,	f#(4),	183.03,	1.444117784500122
3.367,	g(4),	193.80,	1.4626986980438232
3.413,	f#(4),	183.03,	1.111141562461853
3.460,	g(4),	193.80,	1.0826927423477173
3.669,	g#(5),	419.90,	2.733645439147949
3.762,	a(5),	430.66,	7.395676136016846
3.785,	e(6),	646.00,	8.531587600708008
3.808,	e♭(6),	635.23,	9.049298286437988
3.878,	e(6),	646.00,	13.06778621673584
3.924,	a(5),	430.66,	22.24286651611328
3.947,	g#(5),	419.90,	29.77036476135254
4.087,	a(5),	430.66,	47.01948165893555
4.528,	g#(5),	419.90,	79.0568618774414
4.621,	a(4),	215.33,	19.01742172241211
5.712,	b(5),	484.50,	1.5002397298812866
5.735,	b♭(5),	473.73,	7.129146575927734
6.223,	b(5),	484.50,	156.86993408203125
6.362,	b♭(5),	473.73,	165.80435180664062
6.548,	b♭(4),	236.87,	27.198137283325195
7.314,	b(4),	247.63,	1.402103066444397
7.430,	b(5),	506.03,	2.410094976425171
7.500,	g(6),	764.43,	21.74901580810547
7.802,	f#(6),	753.66,	36.942264556884766
7.872,	b(6),	1012.06,	63.46677017211914
7.988,	b(5),	506.03,	81.03937530517578
8.522,	b(4),	247.63,	106.49565124511719
9.613,	c#(5),	279.93,	1.5065546035766602
9.799,	d(5),	290.70,	56.25198745727539
9.845,	c#(5),	279.93,	74.13367462158203
9.892,	d(5),	290.70,	92.34225463867188
10.751,	c#(5),	279.93,	10.336941719055176
10.867,	c(5),	269.17,	1.661490797996521
11.308,	e♭(5),	312.23,	1.3070080280303955
11.331,	e(5),	323.00,	3.2868998050689697
11.355,	b♭(6),	958.23,	7.724344730377197
12.051,	e(6),	646.00,	38.81504821777344
12.074,	e(5),	323.00,	30.91114616394043
13.119,	c#(7),	1087.43,	1.5581759214401245
13.142,	c(7),	1076.66,	11.132063865661621
