time_seconds,note,freq_hz,intensity
0.000,	e,	20499.61,	0.010483041405677795
0.023,	f,	21920.80,	0.01214066706597805
0.046,	e♭,	20241.21,	0.012040993198752403
0.070,	f,	10.77,	0.013716771267354488
0.325,	g#,	204.57,	0.04931936785578728
0.348,	f,	43.07,	0.0669577419757843
0.372,	c,	32.30,	0.06819267570972443
0.395,	f,	21.53,	0.11145283281803131
0.441,	c,	32.30,	0.0986110046505928
0.488,	f,	43.07,	0.11771783977746964
0.627,	c,	32.30,	0.15382201969623566
0.650,	f,	43.07,	0.27682387828826904
0.859,	c,	32.30,	0.5240705013275146
0.882,	f#,	376.83,	1.6320960521697998
0.906,	c#,	1119.73,	4.784937858581543
0.952,	f#,	376.83,	6.5289154052734375
2.067,	f#,	376.83,	46.587589263916016
3.181,	f#,	376.83,	2.2017099857330322
3.297,	g,	193.80,	1.3108724355697632
3.344,	f#,	183.03,	1.444117784500122
3.367,	g,	193.80,	1.4626986980438232
3.413,	f#,	183.03,	1.111141562461853
3.460,	g,	193.80,	1.0826927423477173
3.599,	g#,	204.57,	0.6762341856956482
3.646,	f,	21.53,	0.5821812748908997
3.669,	g#,	419.90,	2.733645439147949
3.762,	a,	430.66,	7.395676136016846
3.785,	e,	646.00,	8.531587600708008
3.808,	e♭,	635.23,	9.049298286437988
3.878,	e,	646.00,	13.06778621673584
3.924,	a,	430.66,	22.24286651611328
3.947,	g#,	419.90,	29.77036476135254
4.087,	a,	430.66,	47.01948165893555
4.528,	g#,	419.90,	79.0568618774414
4.621,	a,	215.33,	19.01742172241211
5.642,	c#,	279.93,	0.5005607604980469
5.666,	c,	269.17,	0.67361980676651
5.712,	b,	484.50,	1.5002397298812866
5.735,	b♭,	473.73,	7.129146575927734
6.223,	b,	484.50,	156.86993408203125
6.362,	b♭,	473.73,	165.80435180664062
7.314,	b,	247.63,	1.402103066444397
7.500,	g,	764.43,	21.74901580810547
7.802,	f#,	753.66,	36.942264556884766
7.872,	b,	1012.06,	63.46677017211914
8.986,	b,	247.63,	11.831757545471191
9.404,	c,	258.40,	0.42842182517051697
9.590,	c#,	279.93,	0.5009946227073669
9.799,	d,	290.70,	56.25198745727539
9.845,	c#,	279.93,	74.13367462158203
9.892,	d,	290.70,	92.34225463867188
10.751,	c#,	279.93,	10.336941719055176
10.867,	c,	269.17,	1.661490797996521
10.913,	c#,	279.93,	0.553062915802002
10.937,	f,	10.77,	0.4250794053077698
10.960,	c,	32.30,	0.6505014896392822
11.006,	f,	10.77,	0.5220372080802917
11.099,	g#,	204.57,	0.46962153911590576
11.122,	a,	215.33,	0.32478299736976624
11.146,	f,	172.27,	0.3883097171783447
11.238,	a,	107.67,	0.3085631728172302
11.262,	f,	43.07,	0.31875887513160706
11.308,	e♭,	312.23,	1.3070080280303955
11.331,	e,	323.00,	3.2868998050689697
11.355,	b♭,	958.23,	7.724344730377197
12.051,	e,	646.00,	38.81504821777344
12.841,	f,	10.77,	0.5098456144332886
12.910,	a,	107.67,	0.2874860167503357
12.957,	f,	43.07,	0.385052353143692
13.050,	d,	75.37,	0.315156489610672
13.096,	f,	10.77,	0.6862667202949524
13.119,	c#,	1087.43,	1.5581759214401245
13.142,	c,	1076.66,	11.132063865661621
13.189,	f,	355.30,	42.08700942993164
13.584,	f#,	366.06,	126.6365966796875
13.677,	f,	355.30,	147.97006225585938
13.700,	f#,	366.06,	151.93002319335938
13.723,	f,	355.30,	143.80555725097656
14.280,	f#,	366.06,	11.754936218261719
14.327,	f,	355.30,	9.364350318908691
14.350,	f#,	366.06,	8.518780708312988
14.396,	f,	355.30,	6.552783966064453
14.420,	f#,	366.06,	6.096318244934082
14.443,	f,	355.30,	5.115372180938721
14.489,	f#,	366.06,	4.114639759063721
14.512,	f,	355.30,	3.511385440826416
14.536,	f#,	366.06,	3.1469876766204834
14.559,	f,	355.30,	2.8952882289886475
14.605,	f#,	366.06,	2.350914239883423
14.721,	c#,	1130.49,	3.3029141426086426
14.768,	d,	1141.26,	25.82427978515625
14.814,	f#,	376.83,	53.419334411621094
14.861,	d,	1141.26,	50.21183395385742
15.000,	c#,	1130.49,	69.9823989868164
15.348,	d,	1141.26,	105.64469146728516
15.418,	c#,	1130.49,	114.1308364868164
15.557,	f#,	376.83,	27.505016326904297
16.161,	g,	387.60,	3.08341121673584
16.231,	f#,	376.83,	0.9807418584823608
16.347,	a,	430.66,	1.346402645111084
16.579,	g#,	419.90,	56.102176666259766
16.602,	a,	430.66,	64.0733871459961
16.904,	g#,	419.90,	78.68326568603516
16.951,	a,	430.66,	79.31778717041016
17.090,	g#,	419.90,	68.36056518554688
17.136,	a,	430.66,	73.57674407958984
17.229,	g#,	419.90,	19.066408157348633
17.299,	a,	430.66,	8.325693130493164
17.438,	g#,	419.90,	2.9204399585723877
17.508,	f#,	376.83,	1.7434802055358887
17.879,	b♭,	473.73,	7.303459644317627
17.995,	b,	484.50,	64.7526626586914
18.251,	b♭,	473.73,	169.1337127685547
18.506,	b,	484.50,	171.24951171875
18.530,	b♭,	473.73,	178.06858825683594
18.646,	b,	484.50,	223.525146484375
18.669,	b♭,	473.73,	201.1681365966797
18.855,	b,	484.50,	3.19099760055542
